収支区分,管理番号,発生日,決済期日,取引先コード,取引先,勘定科目,税区分,金額,税計算区分,税額,備考,品目,部門,メモタグ（複数指定可、カンマ区切り）,決済日,決済口座,決済金額
,502003,20161130,,0826,㈱エス・ティ・エス,保守管理費,課対仕入10%,90000.0000,内税,7200.0000,設備保守管理,設備保守料      ,不動産その他,,,,,,
,502003,20161130,,0826,㈱エス・ティ・エス,保守管理費,課対仕入10%,353000.0000,内税,28240.0000,施設保守管理,設備保守料      ,不動産その他,,,,,,
,502003,20161130,,0826,㈱エス・ティ・エス,保守管理費,課対仕入10%,126000.0000,内税,10080.0000,施設保守管理,設備保守料      ,不動産その他,,,,,,
支出,502004,20161130,,8027,愛電商事㈱　東京支店,保守管理費,課対仕入10%,85000.0000,内税,6800.0000,ボイラー等点検・修理費さくら食品館　定期点検整備,設備保守料      ,食品館不動産,,,,,,
支出,502005,20161130,,7469,極東機械産業㈱,保守管理費,課対仕入10%,138000.0000,内税,11040.0000,発電設備消防法点検　さくら食品館,設備保守料      ,食品館不動産,,,,,,
支出,502006,20161130,,3853,ナジコイーエス㈱,保守管理費,課対仕入10%,58000.0000,内税,4640.0000,排煙機保守点検　さくら三番館,設備保守料      ,三番館不動産,,,,,,
支出,502007,20161130,,8522,ダイキンエアテクノ㈱,修繕費,課対仕入10%,19000.0000,内税,1520.0000,空調機修理作業,機械設備修理    ,三番館不動産,,,,,,
支出,502008,20161130,,6812,文化シャッターサ－ビス㈱,保守管理費,課対仕入10%,157500.0000,内税,12600.0000,シャッター点検　さくら食品館,設備保守料      ,食品館不動産,,,,,,
支出,502009,20161130,,6812,文化シャッターサ－ビス㈱,保守管理費,課対仕入10%,284000.0000,内税,22720.0000,シャッター点検　さくら三番館,設備保守料      ,三番館不動産,,,,,,
支出,502010,20161130,,0826,㈱エス・ティ・エス,保守管理費,課対仕入10%,92500.0000,内税,7400.0000,電算室空調機保守,設備保守料      ,三番館不動産,,,,,,
支出,502011,20161130,,0826,㈱エス・ティ・エス,外注費,課対仕入10%,58533.0000,内税,4682.0000,駐車場管理運賃費として(変動),業務委託料      ,Ｐ３,,,,,,
支出,502012,20161130,,0826,㈱エス・ティ・エス,外注費,課対仕入10%,50000.0000,内税,4000.0000,さくら三番館業務委託,業務委託料      ,三番館不動産,,,,,,
支出,502013,20161130,,0826,㈱エス・ティ・エス,衛生費,課対仕入10%,1585000.0000,内税,126800.0000,11月　定期清掃,清掃代          ,三番館不動産,,,,,,
,502013,20161130,,0826,㈱エス・ティ・エス,衛生費,課対仕入10%,285000.0000,内税,22800.0000,11月度　定期清掃,清掃代          ,食品館不動産,,,,,,
支出,502014,20161130,,0826,㈱エス・ティ・エス,外注費,課対仕入10%,966800.0000,内税,77344.0000,ネットワーク管理・運用,業務委託料      ,総務部,,,,,,
支出,502015,20161130,,0826,㈱エス・ティ・エス,衛生費,課対仕入10%,290000.0000,内税,23200.0000,11月度　定期清掃,清掃代          ,食品館不動産,,,,,,
支出,502016,20161130,,0826,㈱エス・ティ・エス,保守管理費,課対仕入10%,146000.0000,内税,11680.0000,さくら三番館　エレベーター・エスカレーター保守点検料,設備保守料      ,三番館不動産,,,,,,
支出,502017,20161130,,0826,㈱エス・ティ・エス,修繕費,課対仕入10%,170000.0000,内税,13600.0000,三番館消防点検不良個所改修（1階警備室）,機械設備修理    ,三番館不動産,,,,,,
,502017,20161130,,0826,㈱エス・ティ・エス,修繕費,課対仕入10%,1120000.0000,内税,89600.0000,三番館消防点検不良個所改修（3階アラーム弁交換）,機械設備修理    ,三番館不動産,,,,,,
,502017,20161130,,0826,㈱エス・ティ・エス,修繕費,課対仕入10%,280000.0000,内税,22400.0000,三番館消防点検不良個所改修,機械設備修理    ,三番館不動産,,,,,,
,502017,20161130,,0826,㈱エス・ティ・エス,修繕費,課対仕入10%,70000.0000,内税,5600.0000,三番館消火水槽給水バブル交換,機械設備修理    ,三番館不動産,,,,,,
,502017,20161130,,0826,㈱エス・ティ・エス,修繕費,課対仕入10%,12750.0000,内税,1020.0000,ＳＴＳ契約外作業,機械設備修理    ,三番館不動産,,,,,,
,502017,20161130,,0826,㈱エス・ティ・エス,事務消耗品費,課対仕入10%,41053.0000,内税,3284.0000,ＳＴＳ,電球・蛍光管    ,三番館不動産,,,,,,
支出,502018,20161130,,0826,㈱エス・ティ・エス,修繕費,課対仕入10%,290000.0000,内税,23200.0000,食品館消防点検不良個所改修,機械設備修理    ,食品館不動産,,,,,,
,502018,20161130,,0826,㈱エス・ティ・エス,修繕費,課対仕入10%,22750.0000,内税,1820.0000,ＳＴＳ契約外作業,機械設備修理    ,食品館不動産,,,,,,
,502018,20161130,,0826,㈱エス・ティ・エス,事務消耗品費,課対仕入10%,9045.0000,内税,724.0000,ＳＴＳ,電球・蛍光管    ,食品館不動産,,,,,,
支出,502019,20161130,,0826,㈱エス・ティ・エス,外注費,課対仕入10%,7080000.0000,内税,566400.0000,さくら三番館業務委託,業務委託料      ,三番館不動産,,,,,,
支出,502020,20161130,,0826,㈱エス・ティ・エス,外注費,課対仕入10%,40000.0000,内税,3200.0000,さくら三番館業務委託,業務委託料      ,三番館不動産,,,,,,
支出,502021,20161130,,0826,㈱エス・ティ・エス,保守管理費,課対仕入10%,930150.0000,内税,74412.0000,さくら食品館常駐警備,警備委託料      ,ＣＨＩＫＡＳＡＫＵ,,,,,,
,502021,20161130,,0826,㈱エス・ティ・エス,保守管理費,課対仕入10%,544050.0000,内税,43524.0000,さくら食品館常駐警備,警備委託料      ,食品館不動産,,,,,,
,502021,20161130,,0826,㈱エス・ティ・エス,未収入金,対象外,303264.0000,,0.0000,さくら食品館常駐警備,モランボン      ,その他部門,,,,,,
支出,502022,20161130,,0826,㈱エス・ティ・エス,外注費,課対仕入10%,700000.0000,内税,56000.0000,さくら食品館24時間警備,業務委託料      ,食品館不動産,,,,,,
支出,502023,20161130,,0826,㈱エス・ティ・エス,保守管理費,課対仕入10%,233000.0000,内税,18640.0000,さくら食品館　エレベーター・エスカレーター保守点検料,設備保守料      ,食品館不動産,,,,,,
支出,502024,20161130,,0826,㈱エス・ティ・エス,外注費,課対仕入10%,2600000.0000,内税,208000.0000,Ｐ３　駐車場管理運営,業務委託料      ,Ｐ３,,,,,,
支出,502025,20161130,,0826,㈱エス・ティ・エス,保守管理費,課対仕入10%,234150.0000,内税,18732.0000,ＳＴＳ：警備料金,警備委託料      ,本町不動産,,,,,,
,502025,20161130,,0826,㈱エス・ティ・エス,保守管理費,課対仕入10%,234150.0000,内税,18732.0000,ＳＴＳ：警備料金,警備委託料      ,スパークルⅡ本町店,,,,,,
支出,502026,20161130,,0826,㈱エス・ティ・エス,衛生費,課対仕入10%,328000.0000,内税,26240.0000,11月度　定期清掃,清掃代          ,本町不動産,,,,,,
支出,502027,20161130,,6025,㈱アユミ・プラン,衛生費,課対仕入10%,230730.0000,内税,18458.0000,さくら三番館可燃・不燃・ダンボール収集運搬処理,ゴミ処理        ,三番館不動産,,,,,,
支出,502028,20161130,,6025,㈱アユミ・プラン,衛生費,課対仕入10%,30000.0000,内税,2400.0000,さくら食品館可燃・不燃・ダンボール収集運搬処理,ゴミ処理        ,ＣＨＩＫＡＳＡＫＵⅡ,,,,,,
,502028,20161130,,6025,㈱アユミ・プラン,衛生費,課対仕入10%,42693.0000,内税,3415.0000,１１月分可燃不燃段ボール処理代,ゴミ処理        ,ＣＨＩＫＡＳＡＫＵ,,,,,,
,502028,20161130,,6025,㈱アユミ・プラン,衛生費,課対仕入10%,99617.0000,内税,7970.0000,１１月分可燃不燃段ボール処理代,ゴミ処理        ,食品館不動産,,,,,,
支出,502029,20161130,,3393,アマノ㈱,事務消耗品費,課対仕入10%,21000.0000,内税,1680.0000,ロールペーパー10箱,レシート        ,Ｐ３,,,,,,
支出,502030,20161130,,8038,㈱大久保,衛生費,課対仕入10%,56000.0000,内税,4480.0000,オンサイトキャビー・古紙回収,ゴミ処理        ,三番館不動産,,,,,,
支出,502031,20161130,,3001,ヤマト運輸㈱　西東京主管支店,運賃荷造費,課対仕入10%,13150.0000,内税,1052.0000,１１月分ヤマト送料,配送費・運賃    ,ｅ‐ｆａｃｔｏｒｙ,,,,,,
,502031,20161130,,3001,ヤマト運輸㈱　西東京主管支店,運賃荷造費,課対仕入10%,4650.0000,内税,372.0000,１１月分ヤマト運輸送料,配送費・運賃    ,総務部,,,,,,
,502031,20161130,,3001,ヤマト運輸㈱　西東京主管支店,運賃荷造費,課対仕入10%,3250.0000,内税,260.0000,１１月分ヤマト運輸送料,配送費・運賃    ,パーラー営業部,,,,,,
支出,502032,20161130,,6253,（社）東京食品技術研究所,衛生費,課対仕入10%,5750.0000,内税,460.0000,１１月分腸内病原細菌検査料,保健所等        ,府中ﾌｫｰﾘｽ店　精肉,,,,,,
,502032,20161130,,6253,（社）東京食品技術研究所,衛生費,課対仕入10%,5750.0000,内税,460.0000,１１月分腸内病原細菌検査料,保健所等        ,府中ﾌｫｰﾘｽ店　鮮魚,,,,,,
,502032,20161130,,6253,（社）東京食品技術研究所,衛生費,課対仕入10%,750.0000,内税,60.0000,１１月分腸内病原細菌検査料,保健所等        ,府中ﾌｫｰﾘｽ店　塩干,,,,,,
,502032,20161130,,6253,（社）東京食品技術研究所,衛生費,課対仕入10%,500.0000,内税,40.0000,１１月分腸内病原細菌検査料,保健所等        ,府中ﾌｫｰﾘｽ店　催事,,,,,,
,502032,20161130,,6253,（社）東京食品技術研究所,衛生費,課対仕入10%,500.0000,内税,40.0000,１１月分腸内病原細菌検査料,保健所等        ,府中ﾌｫｰﾘｽ店　営業推進,,,,,,
,502032,20161130,,6253,（社）東京食品技術研究所,衛生費,課対仕入10%,4250.0000,内税,340.0000,１１月分腸内病原細菌検査料,保健所等        ,府中ﾌｫｰﾘｽ店　ｅ‐キッチン,,,,,,
,502032,20161130,,6253,（社）東京食品技術研究所,衛生費,課対仕入10%,2500.0000,内税,200.0000,１１月分腸内病原細菌検査料,保健所等        ,くるまがえし店　精肉,,,,,,
,502032,20161130,,6253,（社）東京食品技術研究所,衛生費,課対仕入10%,2500.0000,内税,200.0000,１１月分腸内病原細菌検査料,保健所等        ,くるまがえし店　鮮魚,,,,,,
,502032,20161130,,6253,（社）東京食品技術研究所,衛生費,課対仕入10%,250.0000,内税,20.0000,１１月分腸内病原細菌検査料,保健所等        ,くるまがえし店　塩干,,,,,,
支出,502033,20161130,,4342,㈱大塚商会　府中支店,事務消耗品費,課対仕入10%,12150.0000,内税,972.0000,１１月分コピー用紙代,ＯＡ用品        ,総務部,,,,,,
支出,502034,20161130,,4011,㈱シー・アイ・シー　食品東京営業所,衛生費,課対仕入10%,22500.0000,内税,1800.0000,１１月分ねこささレンタル,害虫駆除        ,食品館不動産,,,,,,
支出,502035,20161130,,9000,スポット取引：入力用,福利厚生費,課対仕入10%,252297.0000,内税,20183.0000,ストレスチェック検査料,健康診断・産業医,総務部,,,,,,
,502035,20161130,,9000,スポット取引：入力用,支払手数料,課対仕入10%,100.0000,内税,8.0000,中央労働災害防止協会,金融機関手数料  ,総務部,,,,,,
支出,502036,20161130,,3367,㈲村野商店,車両燃料費,課対仕入10%,3219.0000,内税,258.0000,１１月分ガソリン代,燃料代          ,総務部,,,,,,
支出,502037,20161130,,3491,㈱リクルートスタッフィング,派遣社員給与,課対仕入10%,325632.0000,外税,26050.0000,１１月分派遣料,,人事部,,,,,,
支出,502038,20161130,,8530,日本カルミック㈱,衛生費,課対仕入10%,3420.0000,内税,273.0000,１１月分ソープディスペンサー他,その他          ,食品館不動産,,,,,,
,502038,20161130,,8530,日本カルミック㈱,衛生費,課対仕入10%,12200.0000,内税,976.0000,１１月分便器洗浄器,その他          ,三番館不動産,,,,,,
,502038,20161130,,8530,日本カルミック㈱,衛生費,課対仕入10%,28800.0000,内税,2303.0000,１１月分オートソープ,その他          ,総務部,,,,,,
支出,502039,20161130,,0826,㈱エス・ティ・エス,外注費,課対仕入10%,94000.0000,内税,7520.0000,ＥXPLANNER保守料,給与計算        ,人事部,,,,,,
支出,502040,20161130,,3840,㈱イシダ　多摩営業所,事務消耗品費,課対仕入10%,24000.0000,内税,1920.0000,OA用品(トナー・カートリッジ),ＯＡ用品        ,人事部,,,,,,
支出,502041,20161130,,3496,㈱リクルートホールディングス,教育費,課対仕入10%,200000.0000,内税,16000.0000,ジョブオブ採用管理,新卒以外募集費  ,人事部,,,,,,
支出,502042,20161130,,9970,リコージャパン㈱,通信費,課対仕入10%,9400.0000,内税,752.0000,１１月分プロバイダー料,電話ＦＡＸ料金  ,総務部,,,,,,
,502042,20161130,,9970,リコージャパン㈱,通信費,課対仕入10%,9400.0000,内税,752.0000,１１月分プロバイダー料,電話ＦＡＸ料金  ,総務部,,,,,,
支出,502043,20161130,,3496,㈱リクルートホールディングス,教育費,課対仕入10%,892000.0000,内税,71360.0000,タウンワーク等掲載料,新卒以外募集費  ,人事部,,,,,,
支出,502044,20161130,,3496,㈱リクルートホールディングス,教育費,課対仕入10%,372800.0000,内税,29824.0000,モバイルＳ関東掲載料,新卒以外募集費  ,人事部,,,,,,
支出,502045,20161130,,2410,㈱ヒューマン・グリーンサービス,衛生費,課対仕入10%,12000.0000,内税,960.0000,アレンジフラワー,アート・植木    ,総務部,,,,,,
,502045,20161130,,2410,㈱ヒューマン・グリーンサービス,衛生費,課対仕入10%,12000.0000,内税,960.0000,アレンジフラワー,アート・植木    ,総務部,,,,,,
支出,502046,20161130,,0901,㈱トーヨー,衛生費,課対仕入10%,24000.0000,内税,1920.0000,１１月分マット代,マット・モップ等,食品館不動産,,,,,,
,502046,20161130,,0901,㈱トーヨー,衛生費,課対仕入10%,21000.0000,内税,1680.0000,１１月分マット代（共通）,マット・モップ等,三番館不動産,,,,,,
,502046,20161130,,0901,㈱トーヨー,衛生費,課対仕入10%,58500.0000,内税,4680.0000,１１月分マット代（3Ｆ）,マット・モップ等,三番館不動産,,,,,,
,502046,20161130,,0901,㈱トーヨー,衛生費,課対仕入10%,3000.0000,内税,240.0000,１１月分マット代（4Ｆ）,マット・モップ等,三番館不動産,,,,,,
,502046,20161130,,0901,㈱トーヨー,衛生費,課対仕入10%,3600.0000,内税,288.0000,１１月分マット代（5Ｆ）,マット・モップ等,三番館不動産,,,,,,
,502046,20161130,,0901,㈱トーヨー,衛生費,課対仕入10%,7600.0000,内税,608.0000,１１月分マット代（6Ｆ）,マット・モップ等,三番館不動産,,,,,,
支出,502047,20161130,,3217,㈱末吉商会,事務消耗品費,課対仕入10%,11322.0000,内税,905.0000,１１月分ゴミ袋代,清掃用品        ,総務部,,,,,,
支出,502048,20161130,,5692,㈱帝国データバンク,支払手数料,課対仕入10%,4800.0000,内税,384.0000,COSMOSNET利用料,事務手数料      ,ｅ‐ｆａｃｔｏｒｙ,,,,,,
支出,502049,20161130,,3290,㈱タルマー,福利厚生費,課対仕入10%,14445.0000,内税,1155.0000,１１月分スパークル国分寺食事代,社食・賄費、経費,総務部,,,,,,
支出,502050,20161130,,2490,宮西クリニック,福利厚生費,課対仕入10%,45000.0000,内税,3600.0000,１１月分職場巡視,健康診断・産業医,総務部,,,,,,
支出,502051,20161130,,5537,三菱東京：富士ゼロックス多摩㈱,修繕費,課対仕入10%,27328.0000,内税,2186.0000,トータルサービス料金,パフォーマンスチ,総務部,,,,,,
支出,502052,20161130,,5537,三菱東京：富士ゼロックス多摩㈱,修繕費,課対仕入10%,16233.0000,内税,1298.0000,トータルサービス料金,パフォーマンスチ,総務部,,,,,,
支出,502053,20161130,,3126,㈱ユナイトコーポレーション,事務消耗品費,課対仕入10%,6444.0000,内税,515.0000,トイレットペーパー,清掃用品        ,本町不動産,,,,,,
支出,502054,20161130,,2321,井上事務機事務用品㈱,事務消耗品費,課対仕入10%,1584.0000,内税,126.0000,１１月分Ｂｉｚｎｅｔ利用分,事務用品        ,食品ｻｰﾋﾞｽ営業部,,,,,,
,502054,20161130,,2321,井上事務機事務用品㈱,事務消耗品費,課対仕入10%,19231.0000,内税,1540.0000,１１月分Ｂｉｚｎｅｔ利用分,事務用品        ,総務部,,,,,,
,502054,20161130,,2321,井上事務機事務用品㈱,事務消耗品費,課対仕入10%,624.0000,内税,49.0000,１１月分Ｂｉｚｎｅｔ利用分,事務用品        ,府中ﾌｫｰﾘｽ店　レジ,,,,,,
,502054,20161130,,2321,井上事務機事務用品㈱,事務消耗品費,課対仕入10%,7650.0000,内税,612.0000,１１月分Ｂｉｚｎｅｔ利用分,事務用品        ,府中ﾌｫｰﾘｽ店　営業推進,,,,,,
支出,502055,20161130,,3280,㈲あさくら,福利厚生費,課対仕入10%,32778.0000,内税,2622.0000,１１月分スパークルⅡ本町食事代,社食・賄費、経費,総務部,,,,,,
